cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_1001	Escherichia_coli_Shigella	K10	17	20	0.85	Confident
cl60_1002	Escherichia_coli_Shigella	O23	42	47	0.893617	Confident
cl60_1003	Escherichia_coli_Shigella	O116	3	3	1.0	Highly confident
cl60_1006	Escherichia_coli_Shigella	O13/O129/O135	19	19	1.0	Highly confident
cl60_1009	Escherichia_coli_Shigella	O108	1	1	1.0	Highly confident
cl60_1013	Escherichia_coli_Shigella	O49	7	7	1.0	Highly confident
cl60_1014	Escherichia_coli_Shigella	O107/O117	1	1	1.0	Highly confident
cl60_1015	Escherichia_coli_Shigella	O10	3	3	1.0	Highly confident
cl60_1016	Escherichia_coli_Shigella	O10	6	6	1.0	Highly confident
cl60_1020	Escherichia_coli_Shigella	O11	20	23	0.869565	Confident
cl60_1024	Escherichia_coli_Shigella	O2/O50	9	9	1.0	Highly confident
cl60_1025	Escherichia_coli_Shigella	O5	2	2	1.0	Highly confident
cl60_1026	Escherichia_coli_Shigella	O1	14	15	0.933333	Highly confident
cl60_1028	Escherichia_coli_Shigella	O13/O129/O135	8	8	1.0	Highly confident
cl60_103	Escherichia_coli_Shigella	O152	1	1	1.0	Highly confident
cl60_1030	Escherichia_coli_Shigella	O174	1	1	1.0	Highly confident
cl60_1032	Escherichia_coli_Shigella	O116	11	11	1.0	Highly confident
cl60_1033	Escherichia_coli_Shigella	Escherichia_coli-KX02	2	4	0.5	Uncertain
cl60_1035	Escherichia_coli_Shigella	O27	11	11	1.0	Highly confident
cl60_1036	Escherichia_coli_Shigella	O5	4	4	1.0	Highly confident
cl60_1038	Escherichia_coli_Shigella	O126	16	16	1.0	Highly confident
cl60_104	Escherichia_coli_Shigella	OX13	16	17	0.941176	Highly confident
cl60_1040	Escherichia_coli_Shigella	O19	3	3	1.0	Highly confident
cl60_1041	Escherichia_coli_Shigella	O53	3	3	1.0	Highly confident
cl60_1042	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_1043	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_1045	Escherichia_coli_Shigella	O19	10	10	1.0	Highly confident
cl60_1046	Escherichia_coli_Shigella	O8/O9/O9a	26	26	1.0	Highly confident
cl60_1048	Escherichia_coli_Shigella	O107/O117	57	61	0.934426	Highly confident
cl60_105	Escherichia_coli_Shigella	Escherichia_coli-KX02	6	7	0.857143	Confident
cl60_1052	Escherichia_coli_Shigella	O70	7	7	1.0	Highly confident
cl60_1055	Escherichia_coli_Shigella	O136	11	11	1.0	Highly confident
cl60_1056	Escherichia_coli_Shigella	O24/O56/O157	1	1	1.0	Highly confident
cl60_1057	Escherichia_coli_Shigella	O103	20	20	1.0	Highly confident
cl60_1058	Escherichia_coli_Shigella	O103	22	22	1.0	Highly confident
